director_name,ceremony,year,category,outcome,original_language
Dana Plays,Ann Arbor Film Festival,1986.0,Honorable Mention,Won,en
William Shatner,Online Film & Television Association,2006.0,OFTA Television Award,Nominated,en
Guillaume Gallienne,"Lumiere Awards, France",2014.0,Lumiere Award,Won,fr
Santiago Mitre,Academy of Motion Picture Arts and Sciences of Argentina,2010.0,Award of the Argentinean Academy,Nominated,es
Enzo Williams,Gawad Urian Awards,2015.0,Gawad Urian Award,Nominated,en
Joram Lürsen,Giffoni Film Festival,2012.0,Golden Gryphon,2nd place,nl
He Ping,Tokyo International Film Festival,2009.0,Asian Film Award,Nominated,zh
Amanda Micheli,San Francisco International Film Festival,2016.0,Golden Gate Award,Nominated,en
Silvio Soldini,Torino International Festival of Young Cinema,1994.0,Best Italian Short Film of the Year - Special Mention,Won,it
Stephan Brenninkmeijer,ICVM Crown Awards,2001.0,Gold Crown,Won,nl
Michael Herbig,Jupiter Award,2008.0,Jupiter Award,Won,de
Adam Beamer,Vermont International Film Festival,2008.0,Award for Vermont Filmmaking,Won,en
Carles Torrens,Warsaw International Film Festival,2013.0,Short Grand Prix,Nominated,en
Yves Allégret,Cannes Film Festival,1962.0,Palme d'Or,Nominated,fr
Aku Louhimies,Durango Film Festival,2003.0,Jury Award,Won,fi
Edward Yang,"César Awards, France",2001.0,César,Nominated,zh
Shemi Zarhin,Awards of the Israeli Film Academy,2015.0,Award of the Israeli Film Academy,Nominated,en
Malcolm Sutherland,Hiroshima International Animation Festival,2008.0,Grand Prix,Nominated,en
Andrey Smirnov,Montréal World Film Festival,2011.0,Grand Prix des Amériques,Nominated,ru
David Saxon,Chicago International Film Festival,1982.0,Gold Hugo,Nominated,en
André Cruz Shiraiwa,Brussels International Festival of Fantasy Film (BIFFF),2015.0,Silver Méliès,Won,ca
Gleb Panfilov,Nika Awards,2013.0,Honor and Dignity Award,Won,ru
Ed Harris,"Academy Awards, USA",2001.0,Oscar,Nominated,en
Barbara Albert,Venice Film Festival,2006.0,Golden Lion,Nominated,de
Joan Chen,Golden Horse Film Festival,2007.0,Golden Horse Award,Won,en
Franco Nero,Art Film Festival,1995.0,Actor's Mission Award,Won,en
Robert Altman,BAFTA Awards,2002.0,Alexander Korda Award for Best British Film,Won,en
Robert Meyer Burnett,DVD Exclusive Awards,2003.0,DVD Premiere Award,Nominated,en
István Orosz,Annecy International Animated Film Festival,1995.0,Grand Prix,Nominated,en
Shane Meadows,"Newport International Film Festival, Rhode Island",2007.0,Best Director Award,Won,en
Cheol-Mean Whang,Rotterdam International Film Festival,2005.0,FIPRESCI Prize,Won,en
Brian Cox,London Critics Circle Film Awards,2005.0,ALFS Award,Nominated,en
Quentin Tarantino,Sitges - Catalonian International Film Festival,1992.0,Best Screenplay,Won,en
Carlos Moreno,Sundance Film Festival,2011.0,Grand Jury Prize,Nominated,es
Bette Midler,Grammy Awards,2007.0,Grammy,Nominated,en
Damien Chazelle,Denver International Film Festival,2009.0,Emerging Filmmaker Award - Honorable Mention,Won,en
Claude Barras,Annecy International Animated Film Festival,2016.0,Cristal,Won,fr
Rafael Azcona,Turia Awards,2007.0,Special Award,Won,en
Iglika Triffonova,Sofia International Film Festival,2017.0,Audience Award,Won,bg
Moustapha Alassane,Ouagadougou Panafrican Film and Television Festival,2003.0,Poitou Charentes Award,Won,en
Marcos Carnevale,Argentinean Film Critics Association Awards,2006.0,Silver Condor,Nominated,es
Kevin Spacey,"ShoWest Convention, USA",2008.0,Special Award,Won,en
Morgan Matthews,BAFTA Awards,2008.0,BAFTA TV Award,Nominated,en
Dome Karukoski,"Amanda Awards, Norway",2006.0,Best Debut,Won,fi
Keisuke Sasaki,Venice Film Festival,1937.0,Special Recommendation,Won,en
Alain Berliner,Seattle Lesbian & Gay Film Festival,1997.0,Audience Award,Won,fr
Phillip Noyce,Australian Screen Directors' Association,2006.0,Outstanding Achievement Award,Won,en
Kelsey Grammer,"Golden Globes, USA",1996.0,Golden Globe,Won,en
Steven Sprung,"American Cinema Editors, USA",2005.0,Eddie,Nominated,en
José María Forqué,Sant Jordi Awards,1960.0,Sant Jordi,Won,en
Barbara Miller,Daytime Emmy Awards,1979.0,Daytime Emmy,Won,en
Agim Sopi,"L.A. Neo Noir Novel, Film & Script Festival",2015.0,Honorable Mention,Won,en
Jose Ibarra Guballa,Cinemalaya Independent Film Festival,2016.0,NETPAC Award,Won,en
Dustin Hoffman,Screen Actors Guild Awards,1998.0,Actor,Nominated,en
Pedro Almodóvar,Los Angeles Film Critics Association Awards,2002.0,LAFCA Award,2nd place,es
Hou Hsiao-hsien,Locarno International Film Festival,2007.0,Leopard of Honor,Won,zh
Rakhshan Bani-Etemad,Venice Film Festival,2014.0,Best Screenplay,Won,fa
Sue Bourne,"BAFTA Awards, Scotland",2011.0,BAFTA Scotland Award,Nominated,en
Bryan Fox,International Film Festival of Cinematic Arts Los Angeles,2015.0,IFFCA Award,Won,en
Cao Hamburger,Tribeca Film Festival,2007.0,Jury Award,Nominated,pt
Gilles Marchand,"César Awards, France",2001.0,César,Nominated,fr
Thiagarajan Kumararaja,South Indian International Movie Awards,2012.0,SIIMA - Tamil,Nominated,ta
Antoine Fuqua,Black Reel Awards,2005.0,Black Reel,Nominated,en
Vania Leturcq,Montréal World Film Festival,2014.0,Silver Zenith,Won,fr
Gillian Fritzsche,dead CENTER Film Festival,2010.0,Best Oklahoma Film,Won,en
Dev Benegal,Tokyo International Film Festival,1999.0,Tokyo Grand Prix,Nominated,en
Carlos Moreno,"Ariel Awards, Mexico",2009.0,Silver Ariel,Nominated,es
Achim von Borries,Munich International Festival of Film Schools,1998.0,Student Camera Award,Won,de
James Jones,Image Awards,1993.0,Image Award,Won,en
Mona J. Hoel,Karlovy Vary International Film Festival,2001.0,Crystal Globe,Nominated,en
Alfonso Cuarón,Dallas-Fort Worth Film Critics Association Awards,2013.0,DFWFCA Award,Won,en
Rodney Rothman,"Writers Guild of America, USA",2000.0,WGA Award (TV),Nominated,en
Bob Richardson,Daytime Emmy Awards,2004.0,Daytime Emmy,Won,en
Joshua Marston,Nashville Film Festival,1999.0,Best of Festival Award,Won,en
Mark Fergus,Gold Derby Awards,2007.0,Gold Derby Award,Nominated,en
Rick Rowley,Little Rock Film Festival,2013.0,Golden Rock Documentary Award,Won,en
Mark Osborne,USA Film Festival,1999.0,First Place,Won,en
Irene Turner,Garden State Film Festival,2016.0,Jury Award,Won,en
Joko Anwar,Jogja-NETPAC Asian Film Festival,2015.0,Golden Hanoman Award,Nominated,id
Roman Buchok,Directors Guild of Canada,2011.0,DGC Team Award,Nominated,en
Yoshitaro Nomura,Kinema Junpo Awards,1975.0,Readers' Choice Award,Won,ja
Lionello Cerri,Italian National Syndicate of Film Journalists,2013.0,Silver Ribbon,Nominated,it
Aki Kaurismäki,Munich Film Festival,2011.0,ARRI Award,Won,fi
Mel Brooks,Primetime Emmy Awards,2013.0,Primetime Emmy,Nominated,en
Julie Shles,Awards of the Israeli Film Academy,2005.0,Award of the Israeli Film Academy,Nominated,en
Tommy Lee,"Academy Awards, USA",2013.0,Oscar,Nominated,en
Dmitriy Konstantinov,APKIT Awards,2014.0,APKiT,Nominated,ru
Andrei Kavun,"Golden Eagle Awards, Russia",2006.0,Golden Eagle,Nominated,ru
Jonathan Goodman Levitt,News & Documentary Emmy Awards,2017.0,Emmy,Nominated,en
J. Miller Tobin,Mannheim-Heidelberg International Filmfestival,1999.0,Special Prize in Memoriam R.W. Fassbinder - Honorable Mention,Won,en
Spiro Razatos,World Stunt Awards,2017.0,Taurus World Stunt Award,Nominated,en
Jung Byung-gil,Fantasia Film Festival,2017.0,Audience Award,2nd place,ko
Paul Dano,Phoenix Film Critics Society Awards,2015.0,PFCS Award,Nominated,en
Robert Harmon,Primetime Emmy Awards,1997.0,Primetime Emmy,Nominated,en
Jose Javier Reyes,"Young Critics Circle, Philippines",1994.0,YCC Award,Won,en
Davy Chou,Seattle International Film Festival,2017.0,New Directors Competition,Nominated,fr
Margarida Cardoso,Coimbra Caminhos do Cinema Português,2015.0,Film Award,Won,pt
Jonathan Wright,Directors Guild of Canada,2017.0,DGC Team Award,Nominated,en
Tim Kincaid,XBIZ Awards,2009.0,XBIZ Award,Nominated,en
Carlos Diegues,"Telluride Film Festival, US",1981.0,Silver Medallion Award,Won,pt
Pekka Lehto,Jussi Awards,1980.0,Jussi,Won,en
Joseph Brutsman,Temecula Valley International Film Festival,1998.0,Viewer's Choice Award,3rd place,en
John Hillcoat,IF Awards,2005.0,IF Award,Won,en
Derek Cianfrance,Awards Circuit Community Awards,2010.0,ACCA,Nominated,en
Aamir Khan,Filmfare Awards,1992.0,Filmfare Award,Nominated,hi
Mike de Leon,Gawad Urian Awards,1982.0,Gawad Urian Award,Nominated,en
D. L. Hughley,BET Comedy Awards,2005.0,Platinum Mic Viewers Choice Award,Nominated,en
Kamal Haasan,Filmfare Awards South,1997.0,Filmfare Award - Tamil Film Industry,Won,ta
Henry Hathaway,Laurel Awards,1967.0,Golden Laurel,Won,en
Maciej Sobieszczanski,Warsaw International Film Festival,2011.0,Short Grand Prix,Nominated,en
Chris Sanders,Tokyo Anime Award,2004.0,International Theater Award,Won,en
Brian Lonano,FANTA ELX: Elche Fantastic Film Festival,2015.0,Special Award,Won,en
Brian A Miller,Primetime Emmy Awards,2012.0,Primetime Emmy,Nominated,en
Scott Schirmer,Mad Monster Party Film Festival,2013.0,Mad Monster Party Film Festival Award,Won,en
Norbert Baumgarten,Studio Hamburg Newcomer Award,2003.0,Studio Hamburg Newcomer Award,Won,de
Dong-hun Choi,Blue Dragon Awards,2015.0,Blue Dragon Award,Nominated,ko
Mizuho Nishikubo,Sitges - Catalonian International Film Festival,2009.0,Best Film,Nominated,ja
Philip Hoffman,Genie Awards,2004.0,Genie,Nominated,en
Eric Heisserer,Georgia Film Critics Association (GFCA),2017.0,GFCA Award,Nominated,en
Makoto Shinkai,Los Angeles Film Critics Association Awards,2016.0,LAFCA Award,Won,ja
Sophie Deraspe,Jutra Awards,2011.0,Jutra,Nominated,en
Hilton Lacerda,Gramado Film Festival,2013.0,Golden Kikito,Won,pt
