director_name,ceremony,year,category,outcome,original_language
Luis Hernández de la Peña,"Madrid International Film Festival, ES",2015.0,Festival Award,Nominated,en
Alain Guiraudie,Cannes Film Festival,2009.0,C.I.C.A.E. Award,Nominated,fr
Simon Baker,Primetime Emmy Awards,2009.0,Primetime Emmy,Nominated,en
Christopher Gorham,"Academy of Science Fiction, Fantasy & Horror Films, USA",2004.0,Cinescape Genre Face of the Future Award,Nominated,en
Michael W. Watkins,Primetime Emmy Awards,1990.0,Primetime Emmy,Won,en
Peter Jackson,DVD Exclusive Awards,2003.0,Director Award,Won,en
Maarten Treurniet,"Golden and Platin Film, Netherlands",2011.0,Golden Film,Won,nl
Claudio Giovannesi,Rome Film Fest,2012.0,Special Jury Prize,Won,it
Àlex Lora,Gaudí Awards,2012.0,Gaudí Award,Nominated,nl
Chris Noonan,"Writers Guild of America, USA",1996.0,WGA Award (Screen),Nominated,en
A.D. Freese,Durango Film Festival,2017.0,Special Jury Commendation,Won,en
Lee Isaac Chung,Mexico City International Contemporary Film Festival,2008.0,Festival Award,Won,en
Florian David Fitz,Bavarian Film Awards,2011.0,Audience Award,Won,de
Kei Horie,Vancouver International Film Festival,2001.0,Dragons and Tigers Award,Nominated,ja
Carlos Molinero,Goya Awards,2002.0,Goya,Nominated,en
Cristobal Krusen,Down Under International Film Festival,2003.0,Festival Award,Won,en
Pierre Schöller,Cannes Film Festival,2008.0,Golden Camera,Nominated,fr
Kleber Mendonça Filho,International Online Cinema Awards (INOCA),2017.0,INOCA,Nominated,pt
Hal Roach,Walk of Fame,1960.0,Star on the Walk of Fame,Won,en
Cher,Grammy Awards,2004.0,Grammy,Nominated,en
Kathy Bates,Primetime Emmy Awards,2014.0,Primetime Emmy,Won,en
Marta Cunningham,Miami Film Festival,2013.0,Grand Jury Prize,Nominated,en
Pedro Almodóvar,Valencia Festival of Mediterranean Cinema,1984.0,FIPRESCI Prize,Won,es
Ruben Östlund,"Amanda Awards, Norway",2012.0,Amanda,Nominated,en
Nicholas Julius,Accolade Competition,2015.0,Award of Merit,Won,en
Rawson Marshall Thurber,Sundance Film Festival,2008.0,Grand Jury Prize,Nominated,en
Clu Gulager,"Academy of Science Fiction, Fantasy & Horror Films, USA",1987.0,Saturn Award,Nominated,en
Veronica Alice Mannix,International Documentary Association,2000.0,IDA Award,Nominated,en
Eliseo Subiela,Toronto International Film Festival,1986.0,International Critics' Award,Won,es
Helmut Dietl,Tokyo International Film Festival,1992.0,Best Screenplay Award,Won,de
Mel Brooks,"Writers Guild of America, USA",1969.0,WGA Award (Screen),Won,en
Samir Rehem,Gemini Awards,2009.0,Gemini,Nominated,en
Terry Dougas,Calgary Underground Film Festival,2012.0,Audience Award,Won,en
Lorenzo Hagerman,"Ariel Awards, Mexico",2014.0,Silver Ariel,Nominated,es
Joe Leonard,Philadelphia FirstGlance Film Festival,2009.0,Festival Award,Won,en
Miloš Forman,Czech Lions,1998.0,Artistic Achievement Award,Won,en
